Ac2O3	Actinium(lll) Oxide
AgBF4	Silver Tetrafluoroborate
AgBr	Silver Bromide
AgBrO3	Silver Bromate
AgCl	Silver Chloride
AgCl3Cu2	Dicopper Silver Trichloride
AgClO3	Silver Chlorate
AgClO4	Silver Perchlorate
AgCN	Silver Cyanide
AgF	Silver Fluoride
AgF2	Silver(ii) Fluoride
AgI	Silver Iodide
AgIO3	Silver Iodate
AgMnO4	Silver Permanganate
AgN3	Silver Azide
AgNO3	Silver Nitrate
Ag2O	Silver Oxide
AgO	Silver Monoxide
AgONC	Silver Fulminate
AgPF6	Silver Hexafluorophosphate
AgSNC	Silver Thiocyanate
Ag2C2	Silver Acetylide
Ag2CO3	Silver(i) Carbonate
Ag2C2O4	Silver Oxalate
Ag2Cl2	Silver(ii) Dichloride
Ag2CrO4	Silver Chromate
Ag2Cr2O7	Silver Dichromate
Ag2F	Silver Subfluoride
Ag2MoO4	Silver Molybdate
Ag2O	Silver(i) Oxide
Ag2S	Silver Sulfide
Ag2SO4	Silver Sulfate
Ag2Se	Silver Selenide
Ag2SeO3	Silver Selenite
Ag2SeO4	Silver Selenate
Ag2Te	Silver(i) Telluride
Ag3Br2	Silver Dibromide
Ag3Br3	Silver Tribromide
Ag3Cl3	Silver(iii) Trichloride
Ag3I3	Silver(iii) Triiodide
Ag3PO4	Silver Phosphate
AlBO	Aluminium Boron Oxide
AlBO2	Aluminium Borate
AlBr	Aluminium Monobromide
AlBr3	Aluminium Tribromide
AlCl	Aluminium Monochloride
AlClF	Aluminium Chloride Fluoride
AlClF	Aluminium Chloride Fluoride
AlClF2	Aluminium Chloride Fluoride
AlClO	Aluminium Chloride Oxide
AlCl2H	Dichloroalumane
AlCl3	Aluminium Chloride
AlCl2F	Aluminium Chloride Fluoride
AlCl3	Aluminium Trichloride
AlCl4Cs	Aluminium Caesium Tetrachloride
AlCl4K	Potassium Tetrachloroaluminate
AlCl4Na	Sodium Tetrachloroaluminate
AlCl4Rb	Aluminium Rubidium Tetrachloride
AlCl6K3	Potassium Hexachloroaluminate
AlCl6Na3	Sodium Hexachloroaluminate
AlF	Aluminium Monofluoride
AlFO	Aluminium Monofluoride Monoxide
AlF2	Aluminium Difluoride
AlF2O	Aluminium Difluoride Oxide
AlF3	Aluminium Trifluoride
AlF4K	Potassium Tetrafluoroaluminate
AlF4Li	Lithium Tetrafluoroaluminate
AlF6K3	Potassium Hexafluoraluminate
AlF6Li3	Lithium Hexafluoroaluminate
AlF6Na3	Cryolite
AlGaInP	Aluminium-gallium-indium Phosphide
Al(OH)3	Aluminium Hydroxide
AlI	Aluminium Monoiodide
AlI3	Aluminium Triiodide
AlLiO2	Lithium Aluminate
AlN	Aluminium Nitride
Al(NO2)3	Aluminium Nitrite
Al(NO3)3	Aluminium Nitrate
AlNaO2	Sodium Aluminate
AlO	Aluminium Monoxide
AlOSi	Aluminium Silicon Monoxide
AlO2	Aluminium(iv) Oxide
AlP	Aluminium Monophosphide
AlPO4	Aluminium Phosphate
AlTe	Aluminium Monotelluride
AlTe2	Monoaluminium Ditelluride
Al2BeO4	Beryllium Aluminium Oxide
Al2Br6	Dialuminium Hexabromide
Al2(CO3)3	Aluminium Carbonate
Al2Cl9K3	Potassium Aluminium Chloride
Al2CoO4	Cobalt Blue
Al2F6	Aluminium Fluoride
Al2I6	Aluminium Iodide
Al2MgO4	Magnesium Aluminium Oxide
Al2O	Dialuminium Monoxide
Al2O2	Dialuminium Dioxide
Al2O3	Aluminium Oxide
Al2O5Si	Aluminium Silicate
Al2O5Si	Aluminium Silicate
Al2O5Si	Andalusite
Al2O7Si2	Aluminium Silicate
Al2S	Dialuminium Monosulfide
Al2S3	Aluminium Sulfide
Al2(SO4)3	Aluminium Sulfate
Al2Se	Dialuminium Selenide
Al2Te	Dialuminium Telluride
Al3F14Na5	Chiolite
Al4C3	Aluminium Carbide
Al6BeO10	Beryllium Aluminium Oxide
Al6O13Si2	Mullite
ArClF	Argon Chloride Fluoride
ArClH	Argon Chloride Hydride
ArFH	Argon Fluoride Hydride
AsBrO	Arsenic Oxybromide
AsBr3	Arsenic Tribromide
AsClO	Arsenic Monoxide Monochloride
AsCl3	Arsenic Trichloride
AsCl3O	Arsenic Oxychloride
AsCl4F	Arsenic Tetrachloride Fluoride
AsF3	Arsenic Trifluoride
AsF5	Arsenic Pentafluoride
AsH3	Arsine
AsI3	Arsenic Triiodide
AsO	Arsenic Monoxide
AsO2	Arsenic Dioxide
AsP	Arsenic Monophosphide
AsP3	Arsenic Triphosphide
AsTl	Thallium Arsenide
As2I4	Arsenic Diiodide
As2O3	Arsenic Trioxide
