Ac2O3	Actinium(lll) Oxide	12002-61-8
AgBF4	Silver Tetrafluoroborate	14104-20-2
AgBr	Silver Bromide	7785-23-1
AgBrO3	Silver Bromate	7783-89-3
AgCl	Silver Chloride	7783-90-6
AgCl3Cu2	Dicopper Silver Trichloride	69569-03-5
AgClO3	Silver Chlorate	7783-92-8
AgClO4	Silver Perchlorate	7783-93-9
AgCN	Silver Cyanide	506-64-9
AgF	Silver Fluoride	7775-41-9
AgF2	Silver(ii) Fluoride	7775-41-9
AgI	Silver Iodide	7783-96-2
AgIO3	Silver Iodate	7783-97-3
AgMnO4	Silver Permanganate	7783-98-4
AgN3	Silver Azide	13863-88-2
AgNO3	Silver Nitrate	7761-88-8
Ag2O	Silver Oxide	1301-96-8
AgO	Silver Monoxide	1301-96-8
AgONC	Silver Fulminate	5610-59-3
AgPF6	Silver Hexafluorophosphate	26042-63-7
AgSNC	Silver Thiocyanate	1701-93-5
Ag2C2	Silver Acetylide	7659-31-6
Ag2CO3	Silver(i) Carbonate	534-16-7
Ag2C2O4	Silver Oxalate	533-51-7
Ag2Cl2	Silver(ii) Dichloride	75763-82-5
Ag2CrO4	Silver Chromate	7784-01-2
Ag2Cr2O7	Silver Dichromate	7784-02-3
Ag2F	Silver Subfluoride	1302-01-8
Ag2MoO4	Silver Molybdate	13765-74-7
Ag2O	Silver(i) Oxide	20667-12-3
Ag2S	Silver Sulfide	21548-73-2
Ag2SO4	Silver Sulfate	10294-26-5
Ag2Se	Silver Selenide	1302-09-6
Ag2SeO3	Silver Selenite	7784-05-6
Ag2SeO4	Silver Selenate	7784-07-8
Ag2Te	Silver(i) Telluride	12002-99-2
Ag3Br2	Silver Dibromide	11078-32-3
Ag3Br3	Silver Tribromide	11078-33-4
Ag3Cl3	Silver(iii) Trichloride	12444-96-1
Ag3I3	Silver(iii) Triiodide	37375-12-5
Ag3PO4	Silver Phosphate	7784-09-0
AlBO	Aluminium Boron Oxide	12041-48-4
AlBO2	Aluminium Borate	61279-70-7
AlBr	Aluminium Monobromide	22359-97-3
AlBr3	Aluminium Tribromide	7727-15-3
AlCl	Aluminium Monochloride	13595-81-8
AlClF	Aluminium Chloride Fluoride	22395-91-1
AlClF	Aluminium Chloride Fluoride	22395-91-1
AlClF2	Aluminium Chloride Fluoride	13814-65-8
AlClO	Aluminium Chloride Oxide	13596-11-7
AlCl2H		16603-84-2
AlCl3	Aluminium Chloride	16603-84-2
AlCl2F	Aluminium Chloride Fluoride	13497-96-6
AlCl3	Aluminium Trichloride	7446-70-0
AlCl4Cs	Aluminium Caesium Tetrachloride	17992-03-9
AlCl4K	Potassium Tetrachloroaluminate	13821-13-1
AlCl4Na	Sodium Tetrachloroaluminate	7784-16-9
AlCl4Rb	Aluminium Rubidium Tetrachloride	17992-02-8
AlCl6K3	Potassium Hexachloroaluminate	13782-08-6
AlCl6Na3	Sodium Hexachloroaluminate	60172-46-5
AlF	Aluminium Monofluoride	13595-82-9
AlFO	Aluminium Monofluoride Monoxide	13596-12-8
AlF2	Aluminium Difluoride	13569-23-8
AlF2O	Aluminium Difluoride Oxide	38344-66-0
AlF3	Aluminium Trifluoride	7784-18-1
AlF4K	Potassium Tetrafluoroaluminate	14484-69-6
AlF4Li	Lithium Tetrafluoroaluminate	15138-76-8
AlF6K3	Potassium Hexafluoraluminate	13775-52-5
AlF6Li3	Lithium Hexafluoroaluminate	13821-20-0
AlF6Na3	Cryolite	15096-52-3
AlGaInP	Aluminium-gallium-indium Phosphide	
Al(OH)3	Aluminium Hydroxide	21645-51-2
